Customer ID,"Avg Monthly Sent Emails
(Jan-Oct)","Avg Monthly Sent Emails 
(Nov-Dec)","Avg Monthly Subscribers
",Email Provider,Avg Monthly Opened Emails,"Avg Mthly Sales $ 
(via Email Campaigns)","Avg Mthly Sales $
(Total)"
22,2305,"2,420",4021,Shopify Email,92.2,"$1,418 ","$47,267 "
23,20213,"38,607",11237,Third Party Solution,202.13,"$44,507 ","$1,483,567 "
24,11924,"20,867",7031,Shopify Email,1073.16,"$2,032 ","$33,867 "
25,41460,"55,556",10936,Shopify Email,1658.4,"$3,766 ","$62,767 "
26,4707,"7,061",7296,Shopify Email,470.7,"$2,265 ","$45,300 "
27,11395,"14,700",6760,Shopify Email,1139.5,"$3,698 ","$73,960 "
28,10130,"13,372",6107,Shopify Email,506.5,"$3,001 ","$75,025 "
29,9155,"14,648",6709,Shopify Email,366.2,"$4,002 ","$133,400 "
30,17478,"33,033",7569,Third Party Solution,349.56,"$26,354 ","$527,080 "
31,25414,"48,795",11171,Third Party Solution,508.28,"$38,476 ","$641,267 "
32,14442,"21,230",6606,Shopify Email,1155.36,"$2,945 ","$58,900 "
33,108819,"229,608",19830,Third Party Solution,2176.38,"$57,015 ","$1,140,300 "
34,13810,"19,748",6380,Shopify Email,1242.9,"$4,431 ","$110,775 "
35,19712,"38,438",11100,Third Party Solution,197.12,"$8,920 ","$223,000 "
36,34517,"65,927",10291,Third Party Solution,1035.51,"$22,480 ","$749,333 "
37,75271,"159,575",13372,Third Party Solution,2258.13,"$51,124 ","$5,112,400 "
38,107077,"224,862",18972,Third Party Solution,1070.77,"$50,857 ","$5,085,700 "
39,40783,"76,672",8948,Third Party Solution,407.83,"$47,506 ","$2,375,300 "
40,21267,"39,982",11991,Third Party Solution,425.34,"$47,096 ","$941,920 "
41,24992,"47,735",8337,Third Party Solution,749.76,"$43,923 ","$878,460 "
42,49426,"101,818",17399,Third Party Solution,494.26,"$56,121 ","$5,612,100 "
43,19058,"34,686",8033,Third Party Solution,571.74,"$36,130 ","$722,600 "
44,6265,"10,275",6564,Shopify Email,375.9,"$3,537 ","$58,950 "
45,75048,"153,098",16142,Third Party Solution,2251.44,"$51,287 ","$854,783 "
46,6372,"11,151",6757,Shopify Email,637.2,"$2,497 ","$83,233 "
47,69470,"152,139",14848,Third Party Solution,694.7,"$54,863 ","$2,743,150 "
48,7552,"12,612",6903,Shopify Email,302.08,"$3,489 ","$69,780 "
49,34850,"64,473",9112,Third Party Solution,348.5,"$17,440 ","$436,000 "
50,4484,"5,650",7448,Shopify Email,448.4,"$2,886 ","$57,720 "
51,107315,"225,362",12392,Third Party Solution,2146.3,"$55,370 ","$1,107,400 "
52,69243,"139,871",12670,Third Party Solution,692.43,"$58,505 ","$5,850,500 "
53,861,921,2833,Shopify Email,51.66,"$1,422 ","$47,400 "
54,44643,"93,750",18433,Third Party Solution,892.86,"$54,412 ","$1,813,733 "
55,3275,"5,469",7309,Shopify Email,163.75,"$4,035 ","$67,250 "
56,119941,"253,076",12491,Third Party Solution,3598.23,"$54,452 ","$2,722,600 "
57,68435,"140,292",18950,Third Party Solution,684.35,"$55,755 ","$1,115,100 "
58,29713,"58,832",11054,Third Party Solution,891.39,"$42,845 ","$856,900 "
59,33431,"61,847",10435,Third Party Solution,668.62,"$15,069 ","$753,450 "
60,63009,"135,469",14403,Third Party Solution,630.09,"$53,624 ","$5,362,400 "
61,84717,"182,989",19273,Third Party Solution,1694.34,"$58,857 ","$5,885,700 "
62,26857,"48,611",8941,Third Party Solution,805.71,"$17,309 ","$432,725 "
63,98154,"198,271",19900,Third Party Solution,981.54,"$50,563 ","$1,685,433 "
64,33864,"62,648",11353,Shopify Email,3386.4,"$4,790 ","$95,800 "
65,1992,"2,331",315,Shopify Email,179.28,$551 ,"$18,367 "
66,70599,"154,612",12186,Third Party Solution,705.99,"$53,237 ","$5,323,700 "
67,59085,"119,352",16790,Third Party Solution,590.85,"$57,019 ","$950,317 "
68,40585,"81,170",9245,Third Party Solution,405.85,"$40,433 ","$1,347,767 "
69,102227,"220,810",15306,Third Party Solution,1022.27,"$55,359 ","$922,650 "
70,23227,"45,989",9034,Third Party Solution,464.54,"$36,304 ","$605,067 "
71,52661,"98,476",12443,Shopify Email,4212.88,"$2,450 ","$49,000 "
72,14948,"22,721",6786,Shopify Email,1494.8,"$4,364 ","$145,467 "
73,69697,"139,394",16253,Third Party Solution,1393.94,"$58,871 ","$1,177,420 "
74,94907,"201,203",18328,Third Party Solution,1898.14,"$54,373 ","$5,437,300 "
75,16243,"30,862",11720,Third Party Solution,162.43,"$19,494 ","$649,800 "
76,109530,"232,204",14299,Third Party Solution,3285.9,"$52,848 ","$1,056,960 "
77,5057,"8,799",6468,Shopify Email,303.42,"$2,361 ","$47,220 "
78,37524,"72,046",8434,Third Party Solution,1125.72,"$31,940 ","$1,064,667 "
79,102193,"210,518",14679,Third Party Solution,3065.79,"$56,791 ","$2,839,550 "
80,34171,"67,659",11793,Third Party Solution,1025.13,"$5,645 ","$141,125 "
81,34254,"65,083",7961,Third Party Solution,685.08,"$22,625 ","$754,167 "
82,9488,"16,604",6514,Shopify Email,474.4,"$2,205 ","$36,750 "
83,17695,"33,267",9767,Third Party Solution,353.9,"$43,355 ","$1,445,167 "
84,47297,"64,324",12807,Shopify Email,1891.88,"$3,162 ","$105,400 "
85,35341,"68,208",10338,Third Party Solution,706.82,"$47,330 ","$1,183,250 "
86,110585,"234,440",17321,Third Party Solution,1105.85,"$50,089 ","$1,001,780 "
87,21919,"42,742",8530,Third Party Solution,438.38,"$17,010 ","$567,000 "
88,42700,"91,378",13951,Third Party Solution,427,"$57,994 ","$1,449,850 "
89,17305,"20,766",11189,Shopify Email,865.25,"$2,423 ","$40,383 "
90,33930,"62,771",8147,Third Party Solution,1017.9,"$49,778 ","$2,488,900 "
91,11713,"14,290",7310,Shopify Email,1171.3,"$4,352 ","$72,533 "
92,1119,"1,309",1401,Shopify Email,44.76,"$1,798 ","$35,960 "
93,7473,"10,238",7207,Shopify Email,672.57,"$2,916 ","$48,600 "
94,42964,"90,224",18927,Third Party Solution,429.64,"$54,146 ","$2,707,300 "
95,96058,"192,116",19797,Third Party Solution,1921.16,"$52,808 ","$1,760,267 "
96,8070,"11,863",6141,Shopify Email,403.5,"$4,609 ","$76,817 "
97,29284,"55,054",9636,Third Party Solution,878.52,"$9,243 ","$308,100 "
98,41410,"78,679",8187,Third Party Solution,414.1,"$43,998 ","$2,199,900 "
99,39650,"77,318",11232,Third Party Solution,793,"$47,171 ","$786,183 "
100,22834,"31,511",12196,Shopify Email,1598.38,"$2,143 ","$53,575 "
101,40490,"78,551",9688,Third Party Solution,404.9,"$25,970 ","$519,400 "
102,52291,"104,582",16153,Third Party Solution,1568.73,"$55,811 ","$1,395,275 "
103,5336,"8,111",6864,Shopify Email,426.88,"$4,905 ","$122,625 "
104,94566,"191,023",12387,Third Party Solution,1891.32,"$57,485 ","$958,083 "
105,95542,"192,995",12192,Third Party Solution,1910.84,"$54,745 ","$2,737,250 "
106,12698,"16,634",6754,Shopify Email,888.86,"$2,050 ","$41,000 "
107,4349,"7,393",6239,Shopify Email,304.43,"$2,036 ","$67,867 "
108,41467,"80,446",10730,Third Party Solution,1244.01,"$33,414 ","$835,350 "
109,5290,"8,623",6460,Shopify Email,370.3,"$4,076 ","$67,933 "
110,40999,"75,848",7946,Third Party Solution,1229.97,"$46,365 ","$772,750 "
111,17028,"32,013",8365,Third Party Solution,340.56,"$33,959 ","$1,131,967 "
112,86402,"190,084",16151,Third Party Solution,2592.06,"$58,235 ","$970,583 "
113,69985,"142,769",13127,Third Party Solution,1399.7,"$57,212 ","$1,907,067 "
114,14470,"22,429",6067,Shopify Email,1012.9,"$2,294 ","$45,880 "
115,25122,"45,471",10301,Third Party Solution,502.44,"$18,439 ","$460,975 "
116,110280,"227,177",12313,Third Party Solution,1102.8,"$52,757 ","$1,318,925 "
117,37436,"50,164",12202,Shopify Email,2994.88,"$2,739 ","$45,650 "
118,67108,"145,624",18474,Third Party Solution,671.08,"$53,665 ","$5,366,500 "
119,2781,"3,198",2358,Shopify Email,166.86,"$1,164 ","$29,100 "
120,72067,"128,279",12839,Shopify Email,2882.68,"$3,657 ","$60,950 "
121,21382,"41,481",9468,Third Party Solution,427.64,"$44,791 ","$895,820 "
122,4506,"7,029",6205,Shopify Email,360.48,"$2,895 ","$48,250 "
123,20901,"38,667",11652,Third Party Solution,418.02,"$19,127 ","$637,567 "
124,59490,"85,071",9712,Shopify Email,2379.6,"$4,249 ","$106,225 "
125,80565,"174,020",17508,Third Party Solution,805.65,"$57,978 ","$5,797,800 "
126,29397,"55,266",7903,Third Party Solution,293.97,"$35,641 ","$594,017 "
127,18368,"35,634",13717,Shopify Email,1469.44,"$2,542 ","$50,840 "
128,34917,"68,437",8091,Third Party Solution,698.34,"$30,261 ","$1,513,050 "
129,37396,"67,687",9436,Third Party Solution,747.92,"$23,836 ","$397,267 "
130,23332,"44,797",10170,Third Party Solution,466.64,"$10,402 ","$346,733 "
131,48422,"98,781",19792,Third Party Solution,968.44,"$51,699 ","$1,292,475 "
132,30413,"54,743",11249,Third Party Solution,608.26,"$29,208 ","$486,800 "
133,70546,"130,510",11946,Shopify Email,5643.68,"$3,050 ","$50,833 "
134,36210,"70,972",7938,Third Party Solution,724.2,"$21,414 ","$713,800 "
135,57947,"125,745",17689,Third Party Solution,579.47,"$55,232 ","$1,841,067 "
136,21865,"40,669",10487,Third Party Solution,218.65,"$13,901 ","$695,050 "
137,78859,"165,604",18236,Third Party Solution,2365.77,"$56,185 ","$2,809,250 "
138,10383,"12,460",6142,Shopify Email,830.64,"$4,487 ","$89,740 "
139,21473,"40,369",11750,Third Party Solution,214.73,"$24,996 ","$1,249,800 "
140,95511,"210,124",12422,Third Party Solution,955.11,"$53,714 ","$2,685,700 "
141,34731,"64,252",9129,Third Party Solution,347.31,"$10,246 ","$341,533 "
142,114719,"245,499",16667,Third Party Solution,3441.57,"$53,421 ","$2,671,050 "
143,38153,"68,675",9538,Third Party Solution,1144.59,"$35,088 ","$584,800 "
144,27039,"45,155",11752,Shopify Email,2703.9,"$2,899 ","$96,633 "
145,10161,"12,701",7371,Shopify Email,609.66,"$4,412 ","$88,240 "
146,7408,"11,260",7140,Shopify Email,592.64,"$4,424 ","$147,467 "
147,18961,"36,405",8979,Third Party Solution,379.22,"$42,264 ","$845,280 "
148,36065,"67,081",10926,Third Party Solution,721.3,"$49,902 ","$2,495,100 "
149,6457,"8,459",6794,Shopify Email,645.7,"$2,872 ","$57,440 "
150,49811,"59,773",11744,Shopify Email,4482.99,"$4,576 ","$152,533 "
151,55477,"122,049",14461,Third Party Solution,1109.54,"$50,819 ","$1,016,380 "
152,18500,"36,445",9067,Third Party Solution,370,"$35,912 ","$718,240 "
153,60763,"131,248",19113,Third Party Solution,1822.89,"$51,183 ","$2,559,150 "
154,714,828,3162,Shopify Email,42.84,$638 ,"$15,950 "
155,13222,"17,982",6294,Shopify Email,793.32,"$2,031 ","$33,850 "
156,2387,"2,793",5913,Shopify Email,95.48,$486 ,"$9,720 "
157,19414,"24,462",12164,Shopify Email,1747.26,"$4,639 ","$154,633 "
158,59501,"129,117",16570,Third Party Solution,595.01,"$51,824 ","$1,727,467 "
159,41395,"79,478",10396,Third Party Solution,827.9,"$45,677 ","$2,283,850 "
160,87333,"190,386",14828,Third Party Solution,2619.99,"$58,208 ","$1,164,160 "
161,20840,"41,472",10349,Third Party Solution,416.8,"$14,003 ","$700,150 "
162,18888,"35,509",8849,Third Party Solution,377.76,"$35,545 ","$592,417 "
163,19974,"36,552",11500,Third Party Solution,599.22,"$46,036 ","$920,720 "
164,35004,"66,158",10295,Third Party Solution,700.08,"$7,024 ","$351,200 "
165,41973,"81,008",10697,Third Party Solution,1259.19,"$47,951 ","$1,598,367 "
166,105715,"232,573",12936,Third Party Solution,1057.15,"$53,883 ","$1,347,075 "
167,105103,"227,022",12796,Third Party Solution,2102.06,"$57,672 ","$1,153,440 "
168,21644,"42,639",9583,Third Party Solution,649.32,"$9,284 ","$185,680 "
169,66979,"140,656",15252,Third Party Solution,2009.37,"$55,560 ","$926,000 "
170,48944,"64,606",9837,Shopify Email,4404.96,"$2,864 ","$57,280 "
171,84716,"181,292",16270,Third Party Solution,1694.32,"$59,959 ","$2,997,950 "
172,4933,"8,830",6618,Shopify Email,443.97,"$4,867 ","$162,233 "
173,116967,"244,461",19891,Third Party Solution,2339.34,"$55,833 ","$1,861,100 "
174,7063,"11,795",6270,Shopify Email,353.15,"$4,658 ","$93,160 "
175,49047,"100,546",13680,Third Party Solution,490.47,"$58,762 ","$1,175,240 "
176,61563,"131,129",15679,Third Party Solution,615.63,"$56,021 ","$5,602,100 "
177,1815,"1,942",5722,Shopify Email,181.5,$655 ,"$10,917 "
178,4370,"6,599",7478,Shopify Email,349.6,"$4,362 ","$145,400 "
179,2288,"2,700",4357,Shopify Email,183.04,$485 ,"$8,083 "
180,553,641,3718,Shopify Email,55.3,"$1,987 ","$49,675 "
181,97036,"206,687",17711,Third Party Solution,2911.08,"$52,958 ","$1,059,160 "
182,10042,"18,076",7462,Shopify Email,602.52,"$2,918 ","$58,360 "
183,72746,"93,842",8393,Shopify Email,5819.68,"$2,807 ","$56,140 "
184,32368,"63,441",11244,Third Party Solution,323.68,"$48,011 ","$1,600,367 "
185,117155,"242,511",13189,Third Party Solution,1171.55,"$50,501 ","$841,683 "
186,71077,"144,997",19190,Third Party Solution,710.77,"$54,593 ","$909,883 "
187,8852,"11,685",7317,Shopify Email,619.64,"$3,187 ","$79,675 "
188,32847,"59,453",8850,Third Party Solution,656.94,"$22,206 ","$444,120 "
189,37139,"66,850",9396,Third Party Solution,371.39,"$45,444 ","$2,272,200 "
190,50920,"105,404",17096,Third Party Solution,1018.4,"$50,813 ","$846,883 "
191,86622,"183,639",15084,Third Party Solution,1732.44,"$51,220 ","$5,122,000 "
192,21663,"38,993",9609,Third Party Solution,649.89,"$27,548 ","$459,133 "
193,2944,"3,474",888,Shopify Email,235.52,$131 ,"$4,367 "
194,4565,"7,213",6017,Shopify Email,273.9,"$2,136 ","$53,400 "
195,44013,"96,829",18135,Third Party Solution,1320.39,"$59,340 ","$1,186,800 "
196,112117,"232,082",17308,Third Party Solution,3363.51,"$57,778 ","$2,888,900 "
197,8067,"14,198",6856,Shopify Email,322.68,"$3,558 ","$71,160 "
198,35075,"63,135",7525,Third Party Solution,1052.25,"$43,098 ","$1,436,600 "
199,11222,"19,751",6329,Shopify Email,561.1,"$2,586 ","$64,650 "
200,17499,"34,123",10668,Third Party Solution,174.99,"$37,990 ","$759,800 "
201,18320,"22,717",13817,Shopify Email,916,"$4,229 ","$140,967 "
202,106546,"223,747",17012,Third Party Solution,1065.46,"$52,567 ","$2,628,350 "
203,44834,"62,768",13575,Shopify Email,2241.7,"$2,082 ","$41,640 "
204,2028,"2,190",1957,Shopify Email,162.24,"$1,334 ","$26,680 "
205,63960,"132,397",12373,Third Party Solution,1279.2,"$57,501 ","$1,150,020 "
206,33414,"60,479",9402,Third Party Solution,668.28,"$28,942 ","$964,733 "
207,16136,"22,106",10101,Shopify Email,1129.52,"$2,655 ","$53,100 "
208,6781,"9,900",7446,Shopify Email,542.48,"$2,693 ","$67,325 "
209,32902,"60,540",11217,Third Party Solution,658.04,"$7,439 ","$185,975 "
210,13923,"20,328",6992,Shopify Email,835.38,"$4,855 ","$161,833 "
211,64796,"134,776",17751,Third Party Solution,1943.88,"$54,747 ","$1,094,940 "
212,36176,"71,990",9322,Third Party Solution,1085.28,"$43,089 ","$2,154,450 "
213,15390,"30,164",11732,Third Party Solution,461.7,"$23,783 ","$475,660 "
214,41292,"79,281",10826,Third Party Solution,1238.76,"$30,178 ","$1,508,900 "
215,3639,"4,403",6990,Shopify Email,145.56,"$2,974 ","$49,567 "
216,6958,"10,089",7483,Shopify Email,347.9,"$3,239 ","$53,983 "
217,28049,"53,013",8186,Third Party Solution,280.49,"$23,516 ","$783,867 "
218,40754,"73,765",8606,Third Party Solution,1222.62,"$44,159 ","$1,471,967 "
219,44679,"97,400",16632,Third Party Solution,1340.37,"$58,774 ","$979,567 "
220,3535,"5,020",6646,Shopify Email,282.8,"$3,109 ","$62,180 "
221,37387,"70,661",10402,Third Party Solution,747.74,"$29,547 ","$984,900 "
222,2688,"3,226",3478,Shopify Email,161.28,$122 ,"$2,033 "
223,14933,"22,698",6986,Shopify Email,1493.3,"$3,597 ","$119,900 "
224,30017,"57,332",8788,Third Party Solution,300.17,"$24,658 ","$616,450 "
225,17702,"35,404",11360,Third Party Solution,177.02,"$27,958 ","$465,967 "
226,15328,"29,430",7663,Third Party Solution,153.28,"$13,533 ","$270,660 "
227,25470,"50,685",9241,Third Party Solution,254.7,"$6,334 ","$105,567 "
228,18054,"35,927",7847,Third Party Solution,361.08,"$44,974 ","$749,567 "
229,76968,"160,863",18931,Third Party Solution,2309.04,"$59,574 ","$2,978,700 "
230,20046,"38,488",9775,Third Party Solution,200.46,"$32,748 ","$1,637,400 "
231,110311,"240,478",15809,Third Party Solution,2206.22,"$50,770 ","$5,077,000 "
232,13037,"22,424",6224,Shopify Email,1173.33,"$3,151 ","$78,775 "
233,2316,"2,779",1789,Shopify Email,115.8,$48 ,"$1,200 "
234,38144,"71,711",10420,Third Party Solution,1144.32,"$16,070 ","$535,667 "
235,36917,"67,189",7978,Third Party Solution,369.17,"$45,207 ","$1,130,175 "
236,7947,"13,271",7238,Shopify Email,794.7,"$2,158 ","$35,967 "
237,28527,"37,656",12133,Shopify Email,2282.16,"$3,475 ","$115,833 "
238,28070,"53,894",8704,Third Party Solution,842.1,"$10,809 ","$270,225 "
239,1579,"1,847",3529,Shopify Email,126.32,"$1,542 ","$38,550 "
240,5955,"8,933",7074,Shopify Email,416.85,"$2,781 ","$69,525 "
241,45001,"96,302",17089,Third Party Solution,1350.03,"$55,255 ","$2,762,750 "
242,21919,"40,550",9459,Third Party Solution,438.38,"$12,343 ","$411,433 "
243,113329,"227,791",14211,Third Party Solution,3399.87,"$51,141 ","$5,114,100 "
244,110,128,3061,Shopify Email,6.6,"$1,332 ","$33,300 "
245,37986,"68,375",9501,Third Party Solution,1139.58,"$9,693 ","$242,325 "
246,115238,"246,609",15954,Third Party Solution,2304.76,"$50,356 ","$1,678,533 "
247,11744,"14,210",6900,Shopify Email,939.52,"$3,583 ","$89,575 "
248,32797,"61,330",9308,Third Party Solution,983.91,"$43,342 ","$866,840 "
249,8814,"12,075",6090,Shopify Email,352.56,"$3,635 ","$121,167 "
250,22194,"41,281",11332,Third Party Solution,221.94,"$13,762 ","$344,050 "
251,22191,"41,497",8633,Third Party Solution,443.82,"$18,169 ","$908,450 "
252,110093,"231,195",14536,Third Party Solution,3302.79,"$57,554 ","$2,877,700 "
253,32362,"60,841",8034,Third Party Solution,647.24,"$47,513 ","$1,187,825 "
254,40202,"78,394",11714,Third Party Solution,402.02,"$28,466 ","$711,650 "
255,43640,"92,080",18852,Third Party Solution,436.4,"$55,647 ","$927,450 "
256,22375,"40,946",9940,Third Party Solution,671.25,"$47,589 ","$2,379,450 "
257,27675,"52,029",11029,Third Party Solution,830.25,"$32,680 ","$1,089,333 "
258,30763,"60,295",7689,Third Party Solution,922.89,"$6,293 ","$104,883 "
259,44001,"91,962",13622,Third Party Solution,1320.03,"$59,238 ","$2,961,900 "
260,8832,"15,633",6557,Shopify Email,794.88,"$4,284 ","$71,400 "
261,61644,"130,069",19636,Third Party Solution,616.44,"$58,184 ","$1,163,680 "
262,14896,"21,748",6931,Shopify Email,1191.68,"$3,844 ","$128,133 "
263,19414,"36,110",8400,Third Party Solution,194.14,"$15,873 ","$317,460 "
264,377,441,219,Shopify Email,18.85,$681 ,"$11,350 "
265,27438,"51,858",11251,Third Party Solution,274.38,"$12,671 ","$633,550 "
266,83594,"178,891",14038,Third Party Solution,2507.82,"$54,977 ","$5,497,700 "
267,19542,"37,130",9539,Third Party Solution,586.26,"$39,093 ","$651,550 "
268,1030,"1,133",2793,Shopify Email,72.1,"$1,251 ","$20,850 "
269,8720,"14,650",6622,Shopify Email,348.8,"$3,115 ","$103,833 "
270,51422,"110,043",16453,Third Party Solution,514.22,"$55,781 ","$1,859,367 "
271,49769,"100,036",15315,Third Party Solution,1493.07,"$59,178 ","$1,972,600 "
272,83974,"170,467",19208,Third Party Solution,1679.48,"$55,685 ","$1,856,167 "
273,42526,"82,075",8603,Shopify Email,3402.08,"$2,249 ","$37,483 "
274,78007,"166,155",18793,Third Party Solution,1560.14,"$57,488 ","$958,133 "
275,74312,"150,853",13357,Third Party Solution,743.12,"$54,992 ","$5,499,200 "
276,78478,"168,728",19647,Third Party Solution,784.78,"$58,465 ","$1,948,833 "
277,2084,"2,355",3451,Shopify Email,104.2,$77 ,"$2,567 "
278,67856,"143,855",19114,Third Party Solution,1357.12,"$51,588 ","$859,800 "
279,36324,"67,563",11372,Third Party Solution,363.24,"$42,265 ","$704,417 "
280,25191,"47,107",10284,Third Party Solution,503.82,"$13,651 ","$455,033 "
281,117213,"253,180",18717,Third Party Solution,1172.13,"$52,681 ","$1,053,620 "
282,40732,"73,318",7581,Third Party Solution,1221.96,"$46,473 ","$929,460 "
283,16209,"31,283",10479,Third Party Solution,486.27,"$15,141 ","$757,050 "
284,8783,"11,945",6309,Shopify Email,702.64,"$3,626 ","$60,433 "
285,4666,"6,672",6388,Shopify Email,373.28,"$4,516 ","$75,267 "
286,21984,"41,770",8734,Third Party Solution,659.52,"$8,383 ","$279,433 "
287,26492,"52,984",10963,Third Party Solution,529.84,"$41,570 ","$831,400 "
288,2629,"2,866",2248,Shopify Email,157.74,$10 ,$167 
289,4842,"8,570",7402,Shopify Email,193.68,"$3,548 ","$88,700 "
290,24493,"44,822",9494,Third Party Solution,489.86,"$38,313 ","$766,260 "
291,8786,"12,037",6868,Shopify Email,702.88,"$4,519 ","$90,380 "
292,16497,"30,519",11015,Third Party Solution,164.97,"$18,547 ","$309,117 "
293,40823,"76,747",7833,Third Party Solution,816.46,"$10,402 ","$346,733 "
294,38641,"66,463",12650,Shopify Email,3477.69,"$3,276 ","$109,200 "
295,115270,"235,151",14161,Third Party Solution,3458.1,"$55,695 ","$1,113,900 "
296,87721,"178,074",16583,Third Party Solution,2631.63,"$55,766 ","$1,858,867 "
297,116473,"246,923",14545,Third Party Solution,1164.73,"$55,645 ","$1,854,833 "
298,73574,"119,190",11956,Shopify Email,4414.44,"$2,847 ","$56,940 "
299,9730,"16,249",6945,Shopify Email,681.1,"$3,029 ","$100,967 "
300,16333,"29,399",7757,Third Party Solution,163.33,"$33,099 ","$551,650 "
301,63768,"101,391",13333,Shopify Email,3826.08,"$4,346 ","$86,920 "
302,112014,"244,191",14063,Third Party Solution,3360.42,"$57,722 ","$1,443,050 "
303,41164,"76,565",9897,Third Party Solution,411.64,"$40,700 ","$814,000 "
304,16072,"30,376",7641,Third Party Solution,482.16,"$31,108 ","$777,700 "
305,1930,"2,220",1287,Shopify Email,154.4,"$1,449 ","$28,980 "
306,89000,"186,900",19543,Third Party Solution,890,"$58,225 ","$1,164,500 "
307,60522,"130,122",19965,Third Party Solution,1210.44,"$59,645 ","$994,083 "
308,18618,"32,954",11632,Shopify Email,1303.26,"$4,474 ","$74,567 "
309,1074,"1,203",4213,Shopify Email,53.7,"$1,662 ","$27,700 "
310,108160,"218,483",13957,Third Party Solution,2163.2,"$51,857 ","$864,283 "
311,78984,"165,866",16803,Third Party Solution,1579.68,"$54,137 ","$1,353,425 "
312,98959,"212,762",13919,Third Party Solution,1979.18,"$55,490 ","$924,833 "
313,98391,"216,460",12974,Third Party Solution,983.91,"$55,543 ","$5,554,300 "
314,76584,"156,231",19986,Third Party Solution,765.84,"$51,942 ","$1,298,550 "
315,68962,"150,337",13849,Third Party Solution,1379.24,"$50,776 ","$2,538,800 "
316,64810,"88,142",12903,Shopify Email,5832.9,"$2,623 ","$87,433 "
317,51589,"110,916",13693,Third Party Solution,1031.78,"$57,290 ","$954,833 "
318,36615,"66,273",7819,Third Party Solution,732.3,"$24,058 ","$801,933 "
319,1593,"1,784",2043,Shopify Email,127.44,"$1,640 ","$32,800 "
320,12425,"19,880",6173,Shopify Email,745.5,"$4,129 ","$68,817 "
321,44479,"90,737",17537,Third Party Solution,889.58,"$51,166 ","$5,116,600 "
322,1739,"2,069",5918,Shopify Email,156.51,$853 ,"$21,325 "
323,74606,"158,911",18872,Third Party Solution,746.06,"$59,768 ","$996,133 "
324,34544,"66,324",9230,Third Party Solution,345.44,"$30,897 ","$772,425 "
325,11932,"21,120",6647,Shopify Email,954.56,"$3,077 ","$61,540 "
326,64262,"137,521",14277,Third Party Solution,642.62,"$53,347 ","$889,117 "
327,70430,"126,070",8189,Shopify Email,3521.5,"$2,897 ","$57,940 "
328,11680,"14,950",6554,Shopify Email,817.6,"$2,453 ","$40,883 "
329,113825,"247,000",14145,Third Party Solution,2276.5,"$52,930 ","$1,764,333 "
330,50901,"61,081",7803,Shopify Email,3563.07,"$3,298 ","$109,933 "
331,37314,"72,762",8600,Third Party Solution,373.14,"$43,446 ","$2,172,300 "
332,13947,"23,013",6567,Shopify Email,1394.7,"$4,146 ","$69,100 "
333,19831,"39,662",9282,Third Party Solution,396.62,"$43,055 ","$861,100 "
334,9541,"13,930",6968,Shopify Email,477.05,"$4,289 ","$142,967 "
335,69925,"120,970",8688,Shopify Email,5594,"$2,929 ","$58,580 "
336,54183,"114,868",16970,Third Party Solution,1625.49,"$56,997 ","$2,849,850 "
337,28580,"54,588",9587,Third Party Solution,285.8,"$19,936 ","$664,533 "
338,85381,"170,762",14957,Third Party Solution,1707.62,"$50,540 ","$1,010,800 "
339,16955,"30,519",9526,Third Party Solution,508.65,"$19,131 ","$382,620 "
